Estado,Cidade,Total_de_mortes,Populacao_inicial,Populacao_final
CE,Aratuba,12,11802,11847
CE,Arneiroz,17,7844,7840
CE,Assaré,45,23478,23417
CE,Aurora,38,24610,24654
CE,Baixio,13,6303,6288
CE,Banabuiú,22,18256,18197
CE,Barbalha,163,61228,60781
CE,Barreira,50,22573,22425
CE,Barro,45,22758,22680
CE,Barroquinha,25,15044,15017
CE,Baturité,87,35941,35750
CE,Beberibe,129,53949,53573
CE,Bela Cruz,74,32722,32591
CE,Boa Viagem,117,54577,54470
CE,Brejo Santo,155,49842,49477
CE,Camocim,163,63907,63661
CE,Campos Sales,40,27470,27426
CE,Canindé,210,77244,76997
CE,Capistrano,36,17786,17738
CE,Caridade,52,22782,22547
CE,Caririaçu,46,26987,26965
CE,Cariré,48,18459,18448
CE,Cariús,32,18699,18699
CE,Carnaubal,28,17685,17606
CE,Cascavel,157,72232,71743
CE,Catarina,18,20871,20698
CE,Catunda,17,10376,10342
CE,Caucaia,965,365212,361400
CE,Cedro,41,25585,25557
CE,Chaval,27,13091,13069
CE,Chorozinho,39,20274,20264
CE,Choró,18,13565,13521
CE,Coreaú,70,23239,23136
CE,Crateús,232,75159,75074
CE,Crato,227,133031,132123
CE,Croatá,18,18133,18063
CE,Cruz,58,24977,24827
CE,Deputado Irapuan Pinheiro,12,9662,9625
CE,Ereré,15,7225,7198
CE,Eusébio,129,54337,53618
CE,Farias Brito,58,19389,19450
CE,Forquilha,78,24452,24218
CE,Fortaleza,9670,2686612,2669342
CE,Fortim,28,16631,16480
CE,Frecheirinha,26,14134,14072
CE,General Sampaio,19,7694,7618
CE,Granja,88,54962,54748
CE,Granjeiro,4,4814,4844
CE,Graça,19,14407,14399
CE,Groaíras,31,11144,11068
CE,Guaiúba,61,26290,26064
CE,Guaraciaba do Norte,63,40784,40642
CE,Guaramiranga,5,5132,5193
CE,Hidrolândia,26,20053,19978
CE,Horizonte,134,68529,67337
CE,Ibaretama,25,13369,13353
